Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000107112325995473,0.0284941401934845,0.0157197734274271,0,0,0,0.159972565808907,0.000279749981651015,1.03603995502193E-06,-1.32026174868359E-07,9.74063851276373E-05,3.48457303023201E-05,0.000332483511869283,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/base_link.STL,,gello_teleop_flexiv_bearing-1;motor_9350M-1;gello_teleop_flexiv_base-1,Origin0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,4.42040733461546E-08,0.000283036062904711,-0.0256804648065939,0,0,0,0.0740617594022848,3.03756324592665E-05,7.1340366072387E-11,1.3662365017411E-09,2.88350095204961E-05,-4.913598746706E-08,2.07497182090045E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link1.STL,0.501960784313725,0.501960784313725,0.501960784313725,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link1.STL,,gello_teleop_flexiv_l1-1;motor_9350M-2,Orign1,axle1,joint1,continuous,0,0,0.11454,0,0,0,base_link,0,0,1,500,10,-1.57,1.57,,,,,,,,
link2,2.87861827178576E-05,0.0552026842656658,0.0147654409894797,0,0,0,0.0753174721949631,5.52578961096171E-05,-1.0724555560272E-08,5.68892871116728E-09,1.65121510758336E-05,2.27212466148452E-06,5.22467554372306E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link2.STL,,gello_teleop_flexiv_l2-1;motor_9350M-9,Orign2,axle2,joint2,continuous,0,0.02555,0.02086,1.5707963267949,0,0,link1,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link3,-0.00902724630621629,0.0290512088672225,-0.0231115617533807,0,0,0,0.0932722330326927,8.04182975107336E-05,4.35780863888647E-06,-5.26138931583602E-06,5.66651157255922E-05,2.00203019275173E-05,4.02028173127608E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link3.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link3.STL,,gello_teleop_flexiv_l3-3;motor_9350M-4,Orign3,axle3,joint3,continuous,3.33329999999965E-05,0.12307958857722,-0.00921665402077125,1.5707963267949,0,0,link2,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link4,0.00923915061833139,0.0557675022980221,0.0024985577986297,0,0,0,0.0923443706340049,8.78908518132079E-05,-4.06669152204837E-06,3.2847872495787E-06,2.99202257860588E-05,1.34168479919283E-05,7.78581846137501E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link4.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link4.STL,,gello_teleop_flexiv_l4-2;motor_9350M-5,Orign4,axle4,joint4,continuous,-0.0106666629999999,0.00921665402077167,-0.0809234768240421,-1.5707963267949,0,0,link3,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link5,-1.93588073327811E-05,-0.00727739220759811,0.0693671643030015,0,0,0,0.0593546590861755,3.22765101141685E-05,-7.17409875741211E-09,6.36259265649784E-09,3.09883147818667E-05,-1.6852314986758E-06,1.42161897457631E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link5.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link5.STL,,gello_teleop_flexiv_l5-1;motor_9350M-6,Orign5,axle5,joint5,continuous,0.0106666629999999,0.0835623640316056,0.0199833329999996,-1.5707963267949,0,0,link4,0,0,1,500,10,-1.57,1.57,,,,,,,,
link6,0.000213104246736012,-0.0533087380276014,-0.0171994790827167,0,0,0,0.113419784624398,7.19605742375817E-05,1.657279966752E-08,-1.04442558758515E-07,5.44370583259835E-05,3.32164559526982E-06,5.33935297301596E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link6.STL,,gello_teleop_flexiv_l6-1;motor_9350M-7,Orign6,axle6,joint6,continuous,-3.33330000001075E-05,0.021263333,0.115101270567133,-1.5707963267949,0,0,link5,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link7,0.0343825126543309,-0.0330080693173578,0.0310408087388683,0,0,0,0.108746365955699,0.000182315082627034,1.76174949960954E-05,-2.8732846773013E-06,3.41902383698354E-05,1.81572416239741E-05,0.000175748895686558,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link7.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link7.STL,,gello_teleop_gripper_leader_handle-1;motor_9350M-10,Orign7,axle7,joint7,continuous,-0.0248,-0.05791667,0.03511,-3.14159265358979,-1.57079631189374,0,link6,0,0,1,500,10,-1.57,1.57,,,,,,,,
link8,0.0089207,-0.022866,-0.00675,0,0,0,0.0051415,2.283E-06,6.2873E-07,-5.8357E-14,4.9225E-07,-1.8461E-13,2.736E-06,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v3/meshes/link8.STL,,gello_teleop_gripper_trigger-1,Orign8,axle8,joint8,continuous,0.06522,0,0.0103,0,0,0,link7,0,0,1,,,,,,,,,,,,
