Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0359314244197203,-0.521217783026658,0.108168163884002,0,0,0,0.140781229185535,9.57436302937678E-05,3.48564950250387E-05,1.03738838317993E-06,0.000328420600123338,-1.32094089368786E-07,0.000276934775246851,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/base_link.STL,,gello_teleop_flexiv_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.2109E-06,0.035213,-4.1386E-13,0,0,0,0.062198,2.6262E-05,-5.9901E-08,-2.088E-13,1.9912E-05,-5.8873E-15,2.8386E-05,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link1.STL,0.50196,0.50196,0.50196,0.25,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link1.STL,,gello_teleop_flexiv_l1-1,Origin_joint12,基准轴1,joint1,revolute,0.0044059,-0.10829,-0.48722,1.5708,0,0,base_link,0,1,0,500,10,-1.57,1.57,,,,,,,,
link2,-0.0003472536027362,0.0493318151135989,0.0173567708489257,0,0,0,0.0634542150680963,5.32681967201861E-05,-1.06531856297078E-08,4.32227402949671E-09,1.39386634834845E-05,2.2828894286374E-06,5.14095077712621E-05,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link2.STL,,gello_teleop_flexiv_l2-1,Origin_joint22,基准轴2,joint2,revolute,0.02555,0.086314,0.00037524,3.1416,-1.5708,3.1416,link1,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link3,0.0110147556765994,-0.0251055213097105,0.0905380752413542,0,0,0,0.0814089715061094,7.72995857245644E-05,6.72258721269139E-06,7.26124075909315E-06,5.52206392754173E-05,-1.93732755388308E-05,3.93655693951892E-05,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link3.STL,1,1,1,0.25,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link3.STL,,gello_teleop_flexiv_l3-3,Origin_joint32,基准轴3,joint3,revolute,-0.00071715,0.23217,-0.0068304,-1.5708,-0.10154,3.1416,link2,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link4,-0.00951429740804757,0.050153248787581,0.0485868077238826,0,0,0,0.0804811136972273,8.58820513269053E-05,4.20198162991998E-06,3.31438031897928E-06,2.73658393714511E-05,-1.33984626682826E-05,7.70209370048257E-05,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link4.STL,1,1,1,0.25,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link4.STL,,gello_teleop_flexiv_l4-2,Origin_joint42,基准轴4,joint4,revolute,0.016367,-0.055457,0.028164,-1.5708,-0.00231,0.10154,link3,0,0,1,500,10,-1.57,1.57,,,,,,,,
link5,-0.000359305064668608,0.0105379298988883,0.060471226032617,0,0,0,0.0474913987427724,3.02868102602832E-05,-7.24541664459543E-09,-4.99627657975042E-09,2.84148264822455E-05,1.69599620189936E-06,1.3378941829534E-05,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link5.STL,1,1,1,0.25,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link5.STL,,gello_teleop_flexiv_l5-1,Origin_joint52,基准轴5,joint5,revolute,-0.01086,0.085925,0.032403,-1.5708,0,0.00231,link4,0,0,1,500,10,-1.57,1.57,,,,,,,,
link6,-0.00593553356315216,0.0548375259281317,0.127547629959975,0,0,0,0.101556527676673,6.92163825878119E-05,1.69198658003819E-06,-2.22230680189458E-07,5.26180630079919E-05,3.31757389156782E-06,5.25562821930295E-05,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link6.STL,,gello_teleop_flexiv_l6-1,Origin_joint62,基准轴6,joint6,revolute,-0.00071715,-0.1243,0.11271,1.5708,0.10154,-3.1416,link5,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link7,0.0367531932113658,0.00126872969572464,0.0815484226026311,0,0,0,0.0968831090631678,3.22005389895365E-05,1.81571702408365E-05,-1.76161283626439E-05,0.000173175408165016,2.88404944118257E-06,0.000181477835025478,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link7.STL,1,1,1,0.25,0,0,0,0,0,0,package://iso_05.SLDASM/meshes/link7.STL,,gello_teleop_gripper_leader_handle-1,Origin_joint72,基准轴7,joint7,revolute,0.0015572,0.060476,0.12001,-3.1416,0,-1.4693,link6,0,-1,0,500,10,-1.57,1.57,,,,,,,,
