Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0359314244197203,-0.108168163884002,-0.521217783026658,0,0,0,0.140781229185535,9.57436302937678E-05,-1.03738838317993E-06,3.48564950250387E-05,0.000276934775246851,1.32094089368795E-07,0.000328420600123338,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/base_link.STL,,gello_teleop_flexiv_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.21087792010569E-06,0.0352132800172582,-4.13863388004643E-13,0,0,0,0.0621984978756423,2.62615211798585E-05,-5.99006972017282E-08,-2.08797393756844E-13,1.99124702914227E-05,-5.88732675409115E-15,2.83859325635614E-05,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link1.STL,0.501960784313725,0.501960784313725,0.501960784313725,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link1.STL,,gello_teleop_flexiv_l1-1,Origin_joint12,Axis_joint1,joint1,fixed,0.00440587462251199,-0.108289897948558,-0.487222231355508,1.5707963267949,0,0,base_link,0,1,0,500,10,-1.57,1.57,,,,,,,,
link2,-0.00034725361653766,0.0493318150901699,0.0173567708357208,0,0,0,0.0634542149548811,5.32681966977589E-05,-1.06531754346597E-08,4.32228061481466E-09,1.39386634719459E-05,2.28288944080361E-06,5.14095077491523E-05,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link2.STL,,gello_teleop_flexiv_l2-1,Origin_joint22,,joint2,fixed,0.02555,0.086314,0.00037524,3.1416,-1.5708,3.1416,link1,0,0,0,500,10,-1.57,1.57,,,,,,,,
link3,0.0110147556765994,-0.0251055213097105,0.0905380752413542,0,0,0,0.0814089715061094,7.72995857245644E-05,6.72258721269138E-06,7.26124075909314E-06,5.52206392754173E-05,-1.93732755388308E-05,3.93655693951891E-05,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link3.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link3.STL,,gello_teleop_flexiv_l3-3,Origin_joint32,Axis_joint3,joint3,fixed,-0.000717150565838778,0.232165887477301,-0.00683035512191994,-1.5707963267949,-0.101541647897608,3.14159265358979,link2,0.994849084749053,0.101367147409659,0,500,10,-1.57,1.57,,,,,,,,
link4,-0.00951429740804757,0.050153248787581,0.0485868077238826,0,0,0,0.0804811136972273,8.58820513269053E-05,4.20198162991998E-06,3.31438031897929E-06,2.73658393714511E-05,-1.33984626682826E-05,7.70209370048257E-05,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link4.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link4.STL,,gello_teleop_flexiv_l4-2,Origin_joint42,,joint4,fixed,0.016367,-0.055457,0.028164,-1.5708,-0.00231,0.10154,link3,0,0,0,500,10,-1.57,1.57,,,,,,,,
link5,-0.000359305064668608,0.0105379298988883,0.0604712260326171,0,0,0,0.0474913987427725,3.02868102602833E-05,-7.24541664460588E-09,-4.99627657978287E-09,2.84148264822456E-05,1.69599620189933E-06,1.33789418295341E-05,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link5.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link5.STL,,gello_teleop_flexiv_l5-1,Origin_joint52,Axis_joint5,joint5,fixed,-0.0108596671601872,0.085924666471512,0.0324029659195895,-1.57079632656786,0,0.00231003266713344,link4,-0.999999999999995,0,0,500,10,-1.57,1.57,,,,,,,,
link6,-0.00593553356315216,0.0548375259281317,0.127547629959975,0,0,0,0.101556527676673,6.92163825878119E-05,1.69198658003819E-06,-2.22230680189461E-07,5.26180630079919E-05,3.31757389156782E-06,5.25562821930295E-05,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link6.STL,,gello_teleop_flexiv_l6-1,Origin_joint62,Axis_joint6,joint6,fixed,-0.000717150508152659,-0.12429703410032,0.112714971667052,1.57079631683204,0.101541649611865,-3.14159265303149,link5,-0.994849074786192,-0.101367245188221,0,500,10,-1.57,1.57,,,,,,,,
link7,0.0367531932113658,0.00126872969572463,0.0815484226026311,0,0,0,0.0968831090631678,3.22005389895365E-05,1.81571702408365E-05,-1.76161283626439E-05,0.000173175408165016,2.88404944118257E-06,0.000181477835025478,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link7.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf/meshes/link7.STL,,gello_teleop_gripper_leader_handle-1,Origin_joint72,Axis_joint7,joint7,fixed,0.00155718628038293,0.0604755995128134,0.120012555809877,-3.14159265257988,0,-1.46925467718303,link6,1,0,0,500,10,-1.57,1.57,,,,,,,,
