Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0292708927856977,0.000110101592261216,0.0146641810009358,0,0,0,171.44,0.104758729,-0.001138006,0.037194042,0.304945887,0.000140354,0.364187809,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/base_link.STL,,gello_teleop_flexiv_base_v2-1,装配体gello_v2-1/motor_9350M-9,gello_teleop_flexiv_bearing_v2-2,origin0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,
link1,0.000418926912689872,0.000127499537420548,0.0314373313795414,0,0,0,102.23,0.023141853,-0.000009881,-0.000128307,0.025369897,0.001368459,0.022252695,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link1.STL,0.501960784313725,0.501960784313725,0.501960784313725,0.25,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link1.STL,,gello_teleop_flexiv_l1_v2-1,装配体gello_v2-1/motor_9350M-10,origin1,axis1,join1,continuous,0,0,0.0501,0,0,0,base_link,0,0,1,,,,,,,,,,,
link2,-0.0439457989518474,-9.43042243768893E-06,-0.0188291293745679,0,0,0,99.79,0.023984706,-0.000020506,0.000085653,0.046701927,0.000003029,0.03791181,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link2.STL,,gello_teleop_flexiv_l2_v2-1,装配体gello_v2-1/motor_9350M-12,origin2,axis2,joint2,continuous,0.0255,0,0.06786667,0,1.5707963267949,0,link1,0,0,1,,,,,,,,,,,
link3,0.00669102211632698,0.0199966031346131,0.0212337590935003,0,0,0,108.49,0.09714596,-0.004909017,-0.007084096,0.070425,-0.027053871,0.042772254,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link3.STL,1,1,1,0.25,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link3.STL,,gello_teleop_flexiv_l3_v2-1,装配体gello_v2-1/motor_9350M-13,origin3,axis3,joint3,continuous,-0.0891650146194216,0,0.00231333000000002,-1.5707963267949,0,1.5707963267949,link2,0,0,1,,,,,,,,,,,
link4,-0.00632474711321661,-0.0400529243031038,0.0130602182047975,0,0,0,50.38,0.030330524,-0.002442504,-0.001574754,0.015373015,-0.008026898,0.022838842,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link4.STL,1,1,1,0.25,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link4.STL,,gello_teleop_flexiv_l4_v2-1,装配体gello_v2-1/HL-3915-C001-20250122-3,origin4,axis4,joint4,continuous,0.00850666380206562,0.00231334175953646,0.0740349853805785,-1.5707963267949,0,0,link3,0,0,-1,,,,,,,,,,,
link5,-0.0054436363815863,5.3347787039235E-06,0.0377847628179662,0,0,0,53.58,0.034574346,-0.000001171,-0.001560479,0.032728017,-0.000000646,0.009732521,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link5.STL,,gello_teleop_flexiv_l5_v2-1,装配体gello_v2-1/HL-3915-C001-20250122-6,origin5,axis5,joint5,continuous,-0.008506667,-0.0789331801981524,0.021046667,1.5707963267949,1.5707963267949,0,link4,0,0,1,,,,,,,,,,,
link6,-0.000350026714014323,0.0401358776386732,0.0063175619582304,0,0,0,52.19,0.027224032,-0.000000028,-0.000001526,0.018555939,-0.006129615,0.012883538,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link6.STL,,gello_teleop_flexiv_l6_v2-1,装配体gello_v2-1/HL-3915-C001-20250122-7,origin6,axis6,jonit6,continuous,0.0135466670000058,0,0.0800001198018476,1.5707963267949,0,1.5707963267949,link5,0,0,1,,,,,,,,,,,
link7,0.0295336452305045,-0.00825031409497804,0.023343772366503,0,0,0,55.78,0.016908974,-0.000307209,-0.013407212,0.073933305,-0.000848545,0.061650788,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link7.STL,,gello_teleop_flexiv_handle_v2-1,HL-3915-C001-20250122-1,origin7,axis7,joint7,continuous,0.0180000000000007,0.0469333300000001,0.0437119999999942,-1.5707963267949,0,-1.5707963267949,link6,0,0,-1,,,,,,,,,,,
link8,0.00832265113748341,-0.0195491190079045,-0.00250000220381602,0,0,0,2.4,0.000697858,0.000198831,-9.26817E-11,0.000185683,-1.03331E-10,0.000873891,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://force_gello_urdf_nofix/meshes/link8.STL,,gello_teleop_gripper_trigger_v2-1,origin8,axis5,joint8,continuous,0,-0.0244999999999999,0.0474999999999993,1.57079632679491,-1.5707963267949,0,link7,0,1,0,,,,,,,,,,,,
