Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000107112319704741,0.028494138890032,0.0157197746304848,0,0,0,0.159972573129097,0.000279749981948947,1.03603995505185E-06,-1.32026175724342E-07,9.74063854279363E-05,3.48457303020746E-05,0.000332483511876177,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/base_link.STL,,gello_teleop_flexiv_bearing-1;motor_9350M-1;gello_teleop_flexiv_base-1,Origin0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,4.4207069976876E-08,0.000283037429639136,-0.0248138957903706,0,0,0,0.074061766722475,3.03756327571985E-05,7.13395100880504E-11,1.36623647181521E-09,2.88350095273903E-05,-4.9135987221571E-08,2.07497185093034E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link1.STL,0.501960784313725,0.501960784313725,0.501960784313725,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link1.STL,,gello_teleop_flexiv_l1-1;motor_9350M-2,Orign1,axle1,joint1,continuous,0,0,0.1136734355829,0,0,0,base_link,0,0,1,500,10,-1.57,1.57,,,,,,,,
link2,2.87861802087952E-05,-0.0552026897557811,-0.0147654386595076,0,0,0,0.0753174795151533,5.52578964075491E-05,1.07245547042864E-08,-5.68892868124124E-09,1.65121510827278E-05,2.27212466123903E-06,5.22467557375296E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link2.STL,,gello_teleop_flexiv_l2-1;motor_9350M-9,Orign2,axle2,joint2,continuous,0,0.02555,0.0217265644171,-1.5707963267949,0,0,link1,0,0,1,500,10,-1.57,1.57,,,,,,,,
link3,-0.00902724643249804,0.0290512082083287,-0.023111566289868,0,0,0,0.093272240352883,8.04182978086656E-05,4.35780863974245E-06,-5.2613893158061E-06,5.66651157324863E-05,2.00203019277628E-05,4.02028176130598E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link3.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link3.STL,,gello_teleop_flexiv_l3-3;motor_9350M-4,Orign3,axle3,joint3,continuous,3.33329999999965E-05,-0.12307958857722,0.00921665402077125,-1.5707963267949,0,0,link2,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link4,0.009239150733898,0.0557675075660092,0.0024985591839442,0,0,0,0.0923443779541952,8.78908521111399E-05,-4.06669152290435E-06,3.28478724954878E-06,2.99202257929529E-05,1.34168479921738E-05,7.78581849140491E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link4.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link4.STL,,gello_teleop_flexiv_l4-2;motor_9350M-5,Orign4,axle4,joint4,continuous,-0.0106666629999999,0.00921665402077167,-0.0809234768240421,-1.5707963267949,0,0,link3,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link5,-1.93588053116894E-05,-0.00727739025631972,0.069367169942263,0,0,0,0.0593546664063658,3.22765104121005E-05,-7.17409961339642E-09,6.36259262657243E-09,3.09883147887608E-05,-1.68523149843031E-06,1.42161900460621E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link5.STL,1,1,1,0.25,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link5.STL,,gello_teleop_flexiv_l5-1;motor_9350M-6,Orign5,axle5,joint5,continuous,0.0106666629999999,0.0835623640316056,0.0199833329999996,-1.5707963267949,0,0,link4,0,0,1,500,10,-1.57,1.57,,,,,,,,
link6,0.000213105143710632,-0.0533087383269601,-0.0171994757072082,0,0,0,0.113419791944589,7.19605742444759E-05,1.65728005235091E-08,-1.04442558513027E-07,5.44370586239154E-05,3.32164559529974E-06,5.33935300304585E-05,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link6.STL,,gello_teleop_flexiv_l6-1;motor_9350M-7,Orign6,axle6,joint6,continuous,-3.33330000001075E-05,0.021263333,0.115101270567133,-1.5707963267949,0,0,link5,0,0,-1,500,10,-1.57,1.57,,,,,,,,
link7,-0.0106223308849898,0.0324873887580239,-0.0287385149848853,0,0,0,0.127747236803747,0.000282186932346462,1.93775704462376E-06,9.19616924068664E-06,0.000109428240795003,6.36681044064838E-05,0.000205545812368966,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link7.STL,,gello_teleop_gripper_leader_handle-2;motor_9350M-10,Orign7,alex7,joint7,continuous,-0.02486,-0.057917,0.03511,0,1.5708,0,link6,0,0,1,,,,,,,,,,,,
link8,0.008920746939688,-0.0228660253119344,-0.00674999937591073,0,0,0,0.00514149442457227,2.28295959114729E-06,6.28734998300039E-07,-5.83567575772006E-14,4.92253495723494E-07,-1.84607472505124E-13,2.73600261685802E-06,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://gello_flexiv_urdf_v7/meshes/link8.STL,,gello_teleop_gripper_trigger-1,Orign8,axle8,joint8,continuous,0.0146917982715263,0,-0.0690809283718213,-0.00423441435334673,1.57079631189374,3.13735823896821,link7,0,0,1,,,,,,,,,,,,
